Sample	run	year	Date	Origin
OmyAC19ROGR_4650	fall	2019	2019-08-26T00:00:00Z	NOR
OmyAC19ROGR_4883	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_5129	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5328	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5452	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5506	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5544	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5622	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_4064	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4246	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4402	fall	2019	2019-08-21T00:00:00Z	NOR
OmyAC19ROGR_4787	fall	2019	2019-09-03T00:00:00Z	NOR
OmyAC19ROGR_4898	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_4972	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5363	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5453	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5580	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5624	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_4087	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4248	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4403	fall	2019	2019-08-21T00:00:00Z	NOR
OmyAC19ROGR_4803	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_4913	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5225	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5398	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5454	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5508	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5581	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_4153	fall	2019	2019-08-14T00:00:00Z	NOR
OmyAC19ROGR_4252	fall	2019	2019-08-16T00:00:00Z	NOR
OmyAC19ROGR_4518	fall	2019	2019-08-21T00:00:00Z	NOR
OmyAC19ROGR_4833	fall	2019	2019-09-04T00:00:00Z	NOR
OmyAC19ROGR_5055	fall	2019	2019-09-06T00:00:00Z	NOR
OmyAC19ROGR_5249	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5399	fall	2019	2019-09-09T00:00:00Z	NOR
OmyAC19ROGR_5455	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5509	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5602	fall	2019	2019-09-11T00:00:00Z	NOR
OmyJC19ROGR_0001	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0009	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0017	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0025	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0033	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0041	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0045	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0057	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0065	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0073	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0081	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0089	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0002	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0010	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0018	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0026	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0034	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0042	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0058	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0066	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0074	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0082	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0090	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0003	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0011	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0019	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0027	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0043	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0051	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0059	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0067	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0075	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0083	halfpounder	2019	2019-08-19T00:00:00Z	NOR
OmyJC19ROGR_0091	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0004	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0012	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0020	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0028	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0036	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0044	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0052	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0060	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0068	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0076	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0084	halfpounder	2019	2019-08-19T00:00:00Z	NOR
OmyJC19ROGR_0092	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0005	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0013	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0021	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0029	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0037	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0053	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0061	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0077	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0085	halfpounder	2019	2019-08-19T00:00:00Z	NOR
OmyJC19ROGR_0093	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0014	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0022	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0038	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0046	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0054	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0062	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0078	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0094	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0007	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0015	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0023	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0031	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0047	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0055	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0063	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0071	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0079	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0087	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0008	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0016	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0024	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0032	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0040	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0048	halfpounder	2019	2019-08-14T00:00:00Z	NOR
OmyJC19ROGR_0056	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0064	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0072	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0080	halfpounder	2019	2019-08-16T00:00:00Z	NOR
OmyJC19ROGR_0095	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0103	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0111	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0119	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0127	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0135	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0139	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0143	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0151	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0159	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0167	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0175	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0183	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0096	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0104	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0112	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0120	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0128	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0136	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0144	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0152	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0160	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0168	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0176	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0184	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0097	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0105	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0113	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0121	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0129	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0137	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0145	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0153	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0177	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0185	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0098	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0106	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0114	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0122	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0130	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0138	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0146	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0154	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0162	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0178	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0186	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0099	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0107	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0115	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0123	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0131	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0147	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0155	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0163	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0171	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0179	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0187	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0100	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0116	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0124	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0132	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0156	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0172	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0180	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0188	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0109	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0117	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0125	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0133	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0141	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0149	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0157	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0165	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0173	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0181	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyJC19ROGR_0102	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0110	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0118	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0126	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0134	halfpounder	2019	2019-08-21T00:00:00Z	NOR
OmyJC19ROGR_0142	halfpounder	2019	2019-08-23T00:00:00Z	NOR
OmyJC19ROGR_0150	halfpounder	2019	2019-08-26T00:00:00Z	NOR
OmyJC19ROGR_0158	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0166	halfpounder	2019	2019-08-28T00:00:00Z	NOR
OmyJC19ROGR_0174	halfpounder	2019	2019-08-30T00:00:00Z	NOR
OmyJC19ROGR_0182	halfpounder	2019	2019-09-03T00:00:00Z	NOR
OmyAC19ROGR_5625	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5678	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5720	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5751	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5820	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5836	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5844	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5987	fall	2019	2019-09-27T00:00:00Z	NOR
OmyAC19ROGR_6039	fall	2019	2019-10-04T00:00:00Z	NOR
OmyAC19ROGR_5626	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5679	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5721	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5753	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5811	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5823	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5845	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5992	fall	2019	2019-09-30T00:00:00Z	NOR
OmyAC19ROGR_6072	fall	2019	2019-10-04T00:00:00Z	NOR
OmyAC19ROGR_5627	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5697	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5756	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5812	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5833	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5846	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5996	fall	2019	2019-09-30T00:00:00Z	NOR
OmyAC19ROGR_6119	fall	2019	2019-10-11T00:00:00Z	NOR
OmyAC19ROGR_5628	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5698	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5723	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5757	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5814	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5834	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5893	fall	2019	2019-09-20T00:00:00Z	NOR
OmyAC19ROGR_5997	fall	2019	2019-09-30T00:00:00Z	NOR
OmyAC19ROGR_6125	fall	2019	2019-10-11T00:00:00Z	NOR
OmyAC19ROGR_5629	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5699	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5766	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5816	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5898	fall	2019	2019-09-20T00:00:00Z	NOR
OmyAC19ROGR_6016	fall	2019	2019-10-02T00:00:00Z	NOR
OmyAC19ROGR_6128	fall	2019	2019-10-14T00:00:00Z	NOR
OmyAC19ROGR_5470	fall	2019	2019-09-11T00:00:00Z	NOR
OmyAC19ROGR_5630	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5711	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5779	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5817	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5840	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5913	fall	2019	2019-09-23T00:00:00Z	NOR
OmyAC19ROGR_6017	fall	2019	2019-10-02T00:00:00Z	NOR
OmyAC19ROGR_6140	fall	2019	2019-10-16T00:00:00Z	NOR
OmyAC19ROGR_5631	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5712	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5742	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5808	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5818	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5841	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5938	fall	2019	2019-09-23T00:00:00Z	NOR
OmyAC19ROGR_6024	fall	2019	2019-10-02T00:00:00Z	NOR
OmyAC19ROGR_6155	fall	2019	2019-10-21T00:00:00Z	NOR
OmyAC19ROGR_5666	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5713	fall	2019	2019-09-13T00:00:00Z	NOR
OmyAC19ROGR_5750	fall	2019	2019-09-16T00:00:00Z	NOR
OmyAC19ROGR_5809	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5819	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5842	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC19ROGR_5961	fall	2019	2019-09-25T00:00:00Z	NOR
OmyAC19ROGR_6033	fall	2019	2019-10-02T00:00:00Z	NOR
OmyAC19ROGR_0053	fall	2019	2019-09-12T00:00:00Z	NOR
OmyAC19ROGR_5810	fall	2019	2019-09-18T00:00:00Z	NOR
OmyAC20ROGR_6249	fall	2020	2020-07-29T00:00:00Z	NOR
OmyAC20ROGR_6260	fall	2020	2020-07-29T00:00:00Z	NOR
OmyAC20ROGR_6261	fall	2020	2020-07-29T00:00:00Z	NOR
OmyAC20ROGR_6327	fall	2020	2020-08-03T00:00:00Z	NOR
OmyAC20ROGR_6340	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6344	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6345	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6346	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6363	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6372	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6373	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6374	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6416	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6419	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6420	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6421	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6422	fall	2020	2020-08-05T00:00:00Z	NOR
OmyAC20ROGR_6431	fall	2020	2020-08-05T00:00:00Z	NOR
